TutorialState: Initialized
CameraFeed: Initialized
GameState: Initialized
CameraFeed: Initialized
         2179190 function calls (2178278 primitive calls) in 28.191 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.005    0.002 threading.py:218(_acquire_restore)
        1    0.004    0.004    0.005    0.005 polynomial.py:48(<module>)
     1157    0.003    0.000    0.004    0.000 sprite.py:1170(__call__)
     1157    0.003    0.000    0.004    0.000 effects.py:22(update)
        1    0.001    0.001    0.004    0.004 index_tricks.py:1(<module>)
        1    0.001    0.001    0.004    0.004 ctypeslib.py:51(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:38(<module>)
        1    0.002    0.002    0.004    0.004 npyio.py:1(<module>)
        1    0.003    0.003    0.004    0.004 chebyshev.py:77(<module>)
       26    0.000    0.000    0.004    0.000 {map}
       18    0.000    0.000    0.003    0.000 sre_compile.py:486(_code)
       18    0.000    0.000    0.003    0.000 sre_parse.py:669(parse)
        1    0.001    0.001    0.003    0.003 __init__.py:6(<module>)
        1    0.003    0.003    0.003    0.003 __init__.py:4(<module>)
        1    0.000    0.000    0.003    0.003 pkg_resources.py:685(Environment)
        1    0.000    0.000    0.003    0.003 pkg_resources.py:61(get_supported_platform)
        1    0.001    0.001    0.003    0.003 pkg_resources.py:206(get_build_platform)
    46/18    0.000    0.000    0.003    0.000 sre_parse.py:307(_parse_sub)
    54/18    0.001    0.000    0.003    0.000 sre_parse.py:385(_parse)
     2453    0.003    0.000    0.003    0.000 {cv.GetSize}
     1910    0.002    0.000    0.002    0.000 {cv.SetImageROI}
       22    0.000    0.000    0.002    0.000 pkg_resources.py:2073(from_location)
        1    0.001    0.001    0.002    0.002 _internal.py:4(<module>)
        2    0.001    0.000    0.002    0.001 State.py:10(__init__)
     3493    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
   107/18    0.001    0.000    0.002    0.000 sre_compile.py:38(_compile)
        1    0.001    0.001    0.002    0.002 Queue.py:1(<module>)
        1    0.002    0.002    0.002    0.002 {cv.CvtColor}
        2    0.001    0.000    0.002    0.001 function_base.py:1(<module>)
     2430    0.002    0.000    0.002    0.000 {cv.BoundingRect}
        1    0.000    0.000    0.002    0.002 pkg_resources.py:662(subscribe)
       11    0.000    0.000    0.002    0.000 pkg_resources.py:2691(<lambda>)
       11    0.000    0.000    0.002    0.000 pkg_resources.py:2189(activate)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
    24695    0.002    0.000    0.002    0.000 {method 'h_next' of 'cv.cvseq' objects}
        1    0.000    0.000    0.002    0.002 urlparse.py:26(<module>)
        1    0.001    0.001    0.002    0.002 numeric.py:1(<module>)
        2    0.002    0.001    0.002    0.001 {thread.start_new_thread}
       21    0.002    0.000    0.002    0.000 {nt.listdir}
        1    0.001    0.001    0.002    0.002 util.py:5(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:3(<module>)
       11    0.000    0.000    0.002    0.000 pkg_resources.py:2280(insert_on)
     3530    0.002    0.000    0.002    0.000 {method 'inflate' of 'pygame.Rect' objects}
       22    0.001    0.000    0.002    0.000 ntpath.py:189(splitext)
       62    0.002    0.000    0.002    0.000 {nt.stat}
     1987    0.001    0.000    0.001    0.000 {method 'contains' of 'pygame.Rect' objects}
        1    0.001    0.001    0.001    0.001 sndarray.py:57(<module>)
     3645    0.001    0.000    0.001    0.000 {cv.GetSpatialMoment}
     6766    0.001    0.000    0.001    0.000 imcompare.py:124(<lambda>)
        3    0.000    0.000    0.001    0.000 pkgdata.py:34(getResource)
        1    0.001    0.001    0.001    0.001 decorators.py:15(<module>)
        1    0.000    0.000    0.001    0.001 calibration_state.py:1(<module>)
       37    0.000    0.000    0.001    0.000 pkg_resources.py:2184(_get_metadata)
       44    0.001    0.000    0.001    0.000 {built-in method sub}
       11    0.000    0.000    0.001    0.000 pkg_resources.py:2332(check_version_conflict)
        1    0.000    0.000    0.001    0.001 tutorial_state.py:9(__init__)
        1    0.000    0.000    0.001    0.001 numerictypes.py:83(<module>)
     7071    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.001    0.001 string.py:148(substitute)
        2    0.001    0.000    0.001    0.001 collections.py:13(namedtuple)
        1    0.000    0.000    0.001    0.001 arraysetops.py:30(<module>)
        1    0.001    0.001    0.001    0.001 _datasource.py:33(<module>)
        1    0.000    0.000    0.001    0.001 game_state.py:10(__init__)
     3119    0.001    0.000    0.001    0.000 {method 'colliderect' of 'pygame.Rect' objects}
        1    0.001    0.001    0.001    0.001 __init__.py:44(<module>)
     1157    0.001    0.000    0.001    0.000 common.py:143(update)
        1    0.001    0.001    0.001    0.001 State.py:1(<module>)
       42    0.000    0.000    0.001    0.000 genericpath.py:38(isdir)
        1    0.001    0.001    0.001    0.001 sprite.py:66(<module>)
      830    0.001    0.000    0.001    0.000 player.py:84(update)
       30    0.000    0.000    0.001    0.000 sre_compile.py:184(_compile_charset)
        6    0.000    0.000    0.001    0.000 pkg_resources.py:174(get_provider)
        3    0.000    0.000    0.001    0.000 pkg_resources.py:856(resource_exists)
       30    0.001    0.000    0.001    0.000 sre_compile.py:213(_optimize_charset)
       66    0.001    0.000    0.001    0.000 ntpath.py:164(split)
        6    0.000    0.000    0.001    0.000 pkg_resources.py:1242(__init__)
       18    0.000    0.000    0.001    0.000 sre_compile.py:367(_compile_info)
      613    0.001    0.000    0.001    0.000 {cv.CreateMemStorage}
        1    0.001    0.001    0.001    0.001 utils.py:3(<module>)
       26    0.000    0.000    0.001    0.000 pkg_resources.py:1653(find_distributions)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       22    0.000    0.000    0.001    0.000 pkg_resources.py:2059(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:10(<module>)
       19    0.000    0.000    0.001    0.000 pkg_resources.py:1268(_has)
        1    0.000    0.000    0.001    0.001 warnings.py:24(_show_warning)
      351    0.000    0.000    0.001    0.000 sre_parse.py:207(get)
       16    0.000    0.000    0.001    0.000 pkg_resources.py:1159(has_metadata)
        6    0.000    0.000    0.001    0.000 pkg_resources.py:1246(_setup_prefix)
     2015    0.001    0.000    0.001    0.000 {method 'get_rect' of 'pygame.Surface' objects}
       32    0.000    0.000    0.001    0.000 pkg_resources.py:2605(_find_adapter)
       19    0.000    0.000    0.001    0.000 genericpath.py:15(exists)
      633    0.001    0.000    0.001    0.000 {pygame.time.get_ticks}
       37    0.000    0.000    0.001    0.000 core.py:106(get_object_signature)
   156/67    0.001    0.000    0.001    0.000 sre_parse.py:146(getwidth)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
      444    0.001    0.000    0.001    0.000 sre_parse.py:188(__next)
        1    0.001    0.001    0.001    0.001 arrayterator.py:9(<module>)
       24    0.000    0.000    0.001    0.000 pkg_resources.py:1827(normalize_path)
       23    0.000    0.000    0.001    0.000 core.py:5936(__init__)
       32    0.000    0.000    0.001    0.000 pkg_resources.py:2598(_get_mro)
      830    0.001    0.000    0.001    0.000 {cv.ResetImageROI}
       23    0.000    0.000    0.001    0.000 core.py:5940(getdoc)
        9    0.001    0.000    0.001    0.000 {open}
      613    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
     1157    0.001    0.000    0.001    0.000 {method 'move' of 'pygame.Rect' objects}
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
        3    0.000    0.000    0.001    0.000 pkg_resources.py:872(resource_stream)
       42    0.000    0.000    0.001    0.000 re.py:144(sub)
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
      485    0.000    0.000    0.000    0.000 urlparse.py:303(<genexpr>)
       24    0.000    0.000    0.000    0.000 ntpath.py:466(abspath)
        5    0.000    0.000    0.000    0.000 pkg_resources.py:1173(get_metadata_lines)
     1215    0.000    0.000    0.000    0.000 sprite.py:1161(__init__)
        5    0.000    0.000    0.000    0.000 pkg_resources.py:1163(get_metadata)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
       22    0.000    0.000    0.000    0.000 pkg_resources.py:1095(safe_name)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
      403    0.000    0.000    0.000    0.000 sre_parse.py:136(__getitem__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:4(<module>)
        5    0.000    0.000    0.000    0.000 pkg_resources.py:1280(_get)
        1    0.000    0.000    0.000    0.000 linalg.py:10(<module>)
      174    0.000    0.000    0.000    0.000 pkg_resources.py:1831(_normalize_cached)
        1    0.000    0.000    0.000    0.000 player.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
     3021    0.000    0.000    0.000    0.000 {method 'get_height' of 'pygame.Surface' objects}
        1    0.000    0.000    0.000    0.000 numerictypes.py:295(_add_aliases)
     1203    0.000    0.000    0.000    0.000 {isinstance}
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
     1014    0.000    0.000    0.000    0.000 {method 'union' of 'pygame.Rect' objects}
        1    0.000    0.000    0.000    0.000 {cv.DrawChessboardCorners}
       36    0.000    0.000    0.000    0.000 ntpath.py:203(dirname)
      469    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.000    0.000 {pygame.display.set_caption}
       22    0.000    0.000    0.000    0.000 pkg_resources.py:484(add)
       10    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       29    0.000    0.000    0.000    0.000 _inspect.py:157(formatargspec)
       20    0.000    0.000    0.000    0.000 {nt.access}
       24    0.000    0.000    0.000    0.000 ntpath.py:398(normpath)
        1    0.000    0.000    0.000    0.000 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1277(get_resource_stream)
      415    0.000    0.000    0.000    0.000 {iter}
       37    0.000    0.000    0.000    0.000 _inspect.py:118(getargspec)
       55    0.000    0.000    0.000    0.000 ntpath.py:63(join)
       42    0.000    0.000    0.000    0.000 sprite.py:116(add)
        1    0.000    0.000    0.000    0.000 warnings.py:36(formatwarning)
       19    0.000    0.000    0.000    0.000 nosetester.py:138(__init__)
        1    0.000    0.000    0.000    0.000 spawn.py:7(<module>)
        1    0.000    0.000    0.000    0.000 linecache.py:13(getline)
        1    0.000    0.000    0.000    0.000 linecache.py:33(getlines)
        1    0.000    0.000    0.000    0.000 linecache.py:68(updatecache)
        4    0.000    0.000    0.000    0.000 sre_compile.py:264(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:177(extend_all)
        3    0.000    0.000    0.000    0.000 threading.py:428(__init__)
        5    0.000    0.000    0.000    0.000 threading.py:64(_note)
      258    0.000    0.000    0.000    0.000 sre_parse.py:201(match)
      182    0.000    0.000    0.000    0.000 string.py:158(convert)
        2    0.000    0.000    0.000    0.000 common.py:83(__init__)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1156(has_resource)
       23    0.000    0.000    0.000    0.000 numerictypes.py:227(bitname)
       27    0.000    0.000    0.000    0.000 pkg_resources.py:1224(_fn)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unittest.py:45(<module>)
       15    0.000    0.000    0.000    0.000 utils.py:157(deprecate)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       20    0.000    0.000    0.000    0.000 common.py:129(__init__)
     1199    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       26    0.000    0.000    0.000    0.000 core.py:816(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
     1131    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      613    0.000    0.000    0.000    0.000 {method 'get_fps' of 'Clock' objects}
       88    0.000    0.000    0.000    0.000 pkg_resources.py:2121(key)
       23    0.000    0.000    0.000    0.000 {nt._getfullpathname}
       49    0.000    0.000    0.000    0.000 sre_compile.py:360(_simple)
        1    0.000    0.000    0.000    0.000 numerictypes.py:449(_set_array_types)
       29    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
      247    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7149(__init__)
      415    0.000    0.000    0.000    0.000 State.py:61(_state_specific)
        1    0.000    0.000    0.000    0.000 calibration_state.py:8(__init__)
        5    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
       15    0.000    0.000    0.000    0.000 utils.py:113(__call__)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 game_state.py:14(create_players)
        8    0.000    0.000    0.000    0.000 core.py:7154(getdoc)
        6    0.000    0.000    0.000    0.000 extras.py:240(__init__)
        2    0.000    0.000    0.000    0.000 player.py:34(__init__)
       20    0.000    0.000    0.000    0.000 pkg_resources.py:1103(safe_version)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1143(__init__)
       22    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        6    0.000    0.000    0.000    0.000 extras.py:244(getdoc)
      145    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
      621    0.000    0.000    0.000    0.000 {built-in method release}
       58    0.000    0.000    0.000    0.000 pkg_resources.py:2221(__getattr__)
      788    0.000    0.000    0.000    0.000 {method 'get_width' of 'pygame.Surface' objects}
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
       18    0.000    0.000    0.000    0.000 core.py:900(__init__)
       12    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:210(_getintp_ctype)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:21(get_BytesIO)
       55    0.000    0.000    0.000    0.000 ntpath.py:55(isabs)
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
        6    0.000    0.000    0.000    0.000 threading.py:176(Condition)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
      240    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
      146    0.000    0.000    0.000    0.000 sre_parse.py:144(append)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        3    0.000    0.000    0.000    0.000 threading.py:361(Event)
       83    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      214    0.000    0.000    0.000    0.000 sre_parse.py:132(__len__)
        7    0.000    0.000    0.000    0.000 player.py:55(handle_attacker)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:368(__init__)
      740    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 numerictypes.py:279(_add_types)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
       75    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
        2    0.000    0.000    0.000    0.000 player.py:64(__init__)
       23    0.000    0.000    0.000    0.000 {built-in method match}
       73    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 effects.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:746(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:364(_Event)
        6    0.000    0.000    0.000    0.000 threading.py:181(__init__)
       30    0.000    0.000    0.000    0.000 numerictypes.py:441(_add_array_type)
        3    0.000    0.000    0.000    0.000 __init__.py:480(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       13    0.000    0.000    0.000    0.000 {all}
      107    0.000    0.000    0.000    0.000 sre_parse.py:96(__init__)
        1    0.000    0.000    0.000    0.000 locals.py:24(<module>)
       18    0.000    0.000    0.000    0.000 numerictypes.py:214(_evalname)
      226    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
       18    0.000    0.000    0.000    0.000 sre_parse.py:184(__init__)
        1    0.000    0.000    0.000    0.000 game_state.py:1(<module>)
       26    0.000    0.000    0.000    0.000 pkgutil.py:358(get_importer)
        1    0.000    0.000    0.000    0.000 tutorial_state.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 numerictypes.py:336(_add_integer_aliases)
      269    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        1    0.000    0.000    0.000    0.000 {cv.GetPerspectiveTransform}
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        7    0.000    0.000    0.000    0.000 sprite.py:165(kill)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:297(prep_simple)
        4    0.000    0.000    0.000    0.000 player.py:10(__init__)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       42    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
       99    0.000    0.000    0.000    0.000 collections.py:43(<genexpr>)
      286    0.000    0.000    0.000    0.000 {built-in method group}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:703(_construct_lookups)
        6    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
       29    0.000    0.000    0.000    0.000 sre_parse.py:263(_escape)
        1    0.000    0.000    0.000    0.000 State.py:28(create_players)
       11    0.000    0.000    0.000    0.000 pkg_resources.py:1846(yield_lines)
      158    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 sprite.py:477(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:2(<module>)
       66    0.000    0.000    0.000    0.000 numerictypes.py:125(english_lower)
        7    0.000    0.000    0.000    0.000 player.py:29(handle_attacker)
        8    0.000    0.000    0.000    0.000 sre_parse.py:222(isname)
       28    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
        6    0.000    0.000    0.000    0.000 core.py:1045(__init__)
       42    0.000    0.000    0.000    0.000 sprite.py:281(add_internal)
        1    0.000    0.000    0.000    0.000 nosetester.py:109(NoseTester)
        1    0.000    0.000    0.000    0.000 ufunclike.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__getattr__)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
       11    0.000    0.000    0.000    0.000 {thread.allocate_lock}
       24    0.000    0.000    0.000    0.000 ntpath.py:42(normcase)
       37    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       53    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       57    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 machar.py:4(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 nosetester.py:82(_docmethod)
       11    0.000    0.000    0.000    0.000 pkg_resources.py:1795(fixup_namespace_packages)
       26    0.000    0.000    0.000    0.000 sprite.py:112(__init__)
       28    0.000    0.000    0.000    0.000 sre_parse.py:89(closegroup)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
       18    0.000    0.000    0.000    0.000 {_sre.compile}
       36    0.000    0.000    0.000    0.000 sre_compile.py:480(isstring)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2655(_initialize)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        7    0.000    0.000    0.000    0.000 sprite.py:131(remove)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:426(_construct_char_code_lookup)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
        1    0.000    0.000    0.000    0.000 imcompare.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {method 'get_at' of 'pygame.Surface' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2(<module>)
        7    0.000    0.000    0.000    0.000 player.py:50(take_damage)
        1    0.000    0.000    0.000    0.000 <string>:6(Polynomial)
        1    0.000    0.000    0.000    0.000 <string>:6(Chebyshev)
        1    0.000    0.000    0.000    0.000 defchararray.py:1695(chararray)
       34    0.000    0.000    0.000    0.000 {max}
       34    0.000    0.000    0.000    0.000 numerictypes.py:152(english_upper)
       66    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:377(_set_up_aliases)
       37    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
       13    0.000    0.000    0.000    0.000 collections.py:61(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:416(Thread)
       18    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        2    0.000    0.000    0.000    0.000 threading.py:448(_set_daemon)
       42    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
       12    0.000    0.000    0.000    0.000 pkg_resources.py:471(__iter__)
       14    0.000    0.000    0.000    0.000 sprite.py:284(remove_internal)
       29    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2057(Distribution)
       49    0.000    0.000    0.000    0.000 {method '__contains__' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       49    0.000    0.000    0.000    0.000 sre_parse.py:140(__setitem__)
